Región,City Name,Language,Time
Africa,Angola,dfc8646749106ed5ac8a42a2f48251bd1df3cbe7,0.5104076862335205
Africa,Angola,dfc8646749106ed5ac8a42a2f48251bd1df3cbe7,0.3834195137023926
Africa,Angola,dfc8646749106ed5ac8a42a2f48251bd1df3cbe7,0.3865940570831299
Africa,Angola,dfc8646749106ed5ac8a42a2f48251bd1df3cbe7,0.38576674461364746
Africa,Angola,dfc8646749106ed5ac8a42a2f48251bd1df3cbe7,0.3873414993286133
Africa,Angola,dfc8646749106ed5ac8a42a2f48251bd1df3cbe7,0.3805422782897949
Africa,Angola,dfc8646749106ed5ac8a42a2f48251bd1df3cbe7,0.3998854160308838
Africa,Angola,dfc8646749106ed5ac8a42a2f48251bd1df3cbe7,0.382307767868042
Africa,Angola,dfc8646749106ed5ac8a42a2f48251bd1df3cbe7,0.3953828811645508
Africa,Angola,dfc8646749106ed5ac8a42a2f48251bd1df3cbe7,0.7802841663360596
